Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,surge,heave,pitch
0.336031,-0.009398,-0.010049,-0.006692,-0.010162,-0.010185,-0.010183,-0.010225,-0.008231,-0.009886,-0.003579,-0.010187,-0.010134,-0.008921,-0.010181,-0.010175,-0.000762,0.0000755,0.11514709
0.344072,-0.009644,-0.010286,-0.006833,-0.010437,-0.010503,-0.010539,-0.010543,-0.008454,-0.010117,-0.003632,-0.01052,-0.010385,-0.009171,-0.010521,-0.010478,-0.000904,0.0000725,0.11796332
0.352012,-0.009912,-0.010553,-0.007013,-0.010668,-0.010721,-0.010705,-0.010699,-0.008677,-0.010398,-0.003718,-0.010724,-0.010633,-0.009422,-0.010637,-0.0107,-0.000887,0.000111,0.14119477
0.360065,-0.010207,-0.010809,-0.007217,-0.010874,-0.010873,-0.010831,-0.010988,-0.008936,-0.010683,-0.003813,-0.010835,-0.010862,-0.009704,-0.010845,-0.010882,-0.000725,0.000113,0.14702018
0.368063,-0.010612,-0.011311,-0.007403,-0.011402,-0.011387,-0.011449,-0.011556,-0.009236,-0.011151,-0.003879,-0.0114,-0.011393,-0.010069,-0.011465,-0.011391,-0.000551,0.0000894,0.1426184
0.376026,-0.010854,-0.011682,-0.007527,-0.011846,-0.011947,-0.011946,-0.011974,-0.009416,-0.011474,-0.003925,-0.011982,-0.011786,-0.01028,-0.011896,-0.011891,-0.000665,0.0000991,0.15527136
0.384071,-0.011142,-0.011944,-0.007697,-0.012187,-0.012268,-0.012199,-0.012329,-0.009652,-0.011749,-0.003989,-0.012252,-0.012072,-0.01055,-0.012169,-0.012251,-0.000907,0.000118,0.17109158
0.392024,-0.011346,-0.01221,-0.007806,-0.012325,-0.012281,-0.01234,-0.01256,-0.009813,-0.011984,-0.004019,-0.012293,-0.012299,-0.010736,-0.012364,-0.01231,-0.000881,0.000105,0.16997266
0.400016,-0.011597,-0.01241,-0.007948,-0.01245,-0.012481,-0.01255,-0.012709,-0.010007,-0.012236,-0.004078,-0.012516,-0.012445,-0.010962,-0.012551,-0.012465,-0.000609,0.000111,0.18126236
0.408015,-0.011983,-0.01282,-0.0081,-0.013047,-0.013162,-0.013085,-0.013214,-0.01029,-0.01262,-0.004114,-0.013148,-0.012949,-0.01131,-0.013056,-0.013117,-0.000424,0.000127,0.19870702
0.416043,-0.01215,-0.013259,-0.008208,-0.013533,-0.013555,-0.013517,-0.013745,-0.010434,-0.012954,-0.004141,-0.013558,-0.013441,-0.011457,-0.013518,-0.013552,-0.000614,0.000126,0.20379568
0.424013,-0.012483,-0.013589,-0.008328,-0.013765,-0.013779,-0.013891,-0.014135,-0.010616,-0.013334,-0.004195,-0.013841,-0.013705,-0.011719,-0.013908,-0.013779,-0.000832,0.000127,0.21267024
0.432055,-0.012718,-0.013662,-0.008385,-0.013827,-0.013926,-0.013984,-0.014224,-0.010801,-0.013456,-0.004172,-0.013959,-0.01375,-0.011961,-0.014,-0.013895,-0.000739,0.00013,0.22545358
0.440025,-0.012779,-0.013829,-0.008512,-0.014044,-0.014112,-0.014052,-0.014287,-0.010919,-0.013546,-0.004212,-0.014098,-0.013967,-0.012045,-0.014048,-0.014093,-0.000459,0.000139,0.24031937
0.448062,-0.013003,-0.014266,-0.008504,-0.014522,-0.014535,-0.014529,-0.014746,-0.010968,-0.013941,-0.004181,-0.014546,-0.014446,-0.012162,-0.014514,-0.014539,-0.000321,0.000141,0.25510965
0.456018,-0.013348,-0.01462,-0.008539,-0.014882,-0.014941,-0.015012,-0.015319,-0.011151,-0.014329,-0.004139,-0.014983,-0.014777,-0.012448,-0.015047,-0.014925,-0.000542,0.000131,0.26189443
0.464016,-0.013657,-0.014913,-0.008753,-0.01519,-0.015325,-0.015403,-0.015713,-0.011473,-0.014604,-0.004198,-0.015376,-0.015068,-0.012789,-0.01545,-0.015273,-0.000704,0.000142,0.27986246
0.47203,-0.013548,-0.014878,-0.008641,-0.01516,-0.015237,-0.015282,-0.015529,-0.011332,-0.014524,-0.004125,-0.015282,-0.015056,-0.012658,-0.015288,-0.015208,-0.000547,0.00014,0.28812303
0.480049,-0.013582,-0.014977,-0.008528,-0.015262,-0.015278,-0.015247,-0.015506,-0.011231,-0.014632,-0.004027,-0.015268,-0.015156,-0.012612,-0.015258,-0.015286,-0.000318,0.00015,0.30341077
0.488066,-0.013949,-0.015408,-0.008645,-0.015715,-0.015781,-0.015798,-0.01609,-0.0115,-0.015054,-0.003984,-0.015799,-0.015591,-0.012942,-0.015833,-0.015764,-0.00024,0.000162,0.32275768
0.496015,-0.01408,-0.015608,-0.008609,-0.01593,-0.016055,-0.016182,-0.016499,-0.011567,-0.015216,-0.003918,-0.016136,-0.015804,-0.013067,-0.016238,-0.016,-0.000411,0.000152,0.32697313
0.504014,-0.014106,-0.015729,-0.008536,-0.016139,-0.016263,-0.016368,-0.016654,-0.011478,-0.015321,-0.003881,-0.016325,-0.015971,-0.013023,-0.016419,-0.016214,-0.0005,0.000159,0.33884586
0.512015,-0.01407,-0.015758,-0.00843,-0.016149,-0.016228,-0.016244,-0.016481,-0.011431,-0.01533,-0.003748,-0.016246,-0.016,-0.012983,-0.016269,-0.016207,-0.000368,0.000166,0.3506335
0.520066,-0.014167,-0.01584,-0.00832,-0.016179,-0.016242,-0.016245,-0.016492,-0.011425,-0.015431,-0.003609,-0.016254,-0.016061,-0.013044,-0.016282,-0.01622,-0.000183,0.000181,0.36488099
